"V1";"V2"
"99 or fewer";"99-"
"115 - 119";"115 - 119"
"120 - 124";"120 - 124"
"125 or more";"125+"
"3rd or higher";"3rd or higher"
"7th or lower";"7th or lower"
"5th";"5th"
"6th";"6th"
"Will Democrats win a majority in the Virginia House of Delegates in 2019?";"Will Dems win VA House in 2019?"
"Will Democrats win a majority in the Virginia Senate in 2019?";"Will Dems win VA Senate in 2019?"
"Will Don McGahn publicly testify before Congress by May 31?";"Will McGahn publicly testify by 5/31?"
"Will Trump's Rasmussen approval be 49% or higher on May 1?";"Trump's Rasmussen at 49+ on 5/1?"
"Will Steven Mnuchin publicly testify before Congress by July 31?";"Will Mnuchin publicly testify by 7/31?"
"Ursula von der Leyen";"von der Leyen"
"Manfred Weber";"Weber"
"Michel Barnier";"Barnier"
"Frans Timmermans";"Timmermans"
"Margrethe Vestager";"Vestager"
"Will Macron's REM win more EU seats than Le Pen's RN?";"Macron win more EU seats than Le Pen?"
"Brexit";"Brexit"
"Conservative";"Conservative"
"Ciudadanos";"Ciudadanos"
"Vox";"Vox"
"Unidos Podemos";"Unidos Podemos"
"2.8% or lower";"2.8-"
"3.1%";"3.1%"
"2.9%";"2.9%"
"3.2%";"3.2%"
"3.0%";"3.0%"
"3.3%";"3.3%"
"3.4%";"3.4%"
"3.6% or more";"3.6+"
"3.5%";"3.5%"
"Will Trump's Rasmussen approval be 50% or higher on May 8?";"Trump's Rasmussen at 50+ on 5/8?"
"Will Trump address British Parliament by June 5?";"Trump address British Parliament by 6/5?"
"Will Seth Moulton participate in June 26-27 Democratic debate?";"Will Moulton participate in June debate?"
"Will Wayne Messam participate in June 26-27 Democratic debate?";"Will Messam participate in June debate?"
"Will Marianne Williamson participate in June 26-27 Democratic debate?";"Williamson participate in June debate?"
"Will Mike Gravel participate in June 26-27 Democratic debate?";"Will Gravel participate in June debate?"
"Will Barr publicly testify before House Judiciary by May 31?";"Barr public House Jud testimony by 5/31?"
"Will Mueller publicly testify before Senate  or House Judiciary by May 31?";"Mueller public Judiciary testimony 5/31?"
"Will William Barr be Attorney General at year-end?";"Will Barr be AG at year-end?"
"Will Scottish Parliament call for an independence referendum in 2019?";"Scotland ind. legislation in 2019?"
"Rod Rosenstein";"Rosenstein"
"Will Bill de Blasio participate in June 26-27 Democratic debate?";"De Blasio participate in June debate?"
"Will Michael Bennet participate in June 26-27 Democratic debate?";"Will Bennet participate in June debate?"
"57-59%";"57-59%"
"53-55%";"53-55%"
"51-53%";"51-53%"
"49-51%";"49-51%"
"61% or more";"61+"
"55-57%";"55-57%"
"Less than 49%";"49-"
"59-61%";"59-61%"
"Will any @joebiden tweet mention ""clown"" noon 5/7 - noon 5/14?";"Biden ""clown"" tweet noon 5/7-5/14?"
"Will Biden lead 538's 2020 Endorsement Primary on 5/31?";"Biden lead 538 endorsements on 5/31?"
"160 - 169";"160 - 169"
"119 or fewer";"119-"
"140 - 149";"140 - 149"
"130 - 139";"130 - 139"
"150 - 159";"150 - 159"
"120 - 129";"120 - 129"
"170 or more";"170+"
"135 or more";"135+"
"130 - 134";"130 - 134"
"125 - 129";"125 - 129"
"109 or fewer";"109-"
"16.0% - 16.9%";"16.0% - 16.9%"
"12.9% or lower";"12.9%-"
"14.0% - 14.9%";"14.0% - 14.9%"
"17.0% - 17.9%";"17.0% - 17.9%"
"13.0% - 13.9%";"13.0% - 13.9%"
"18.0% or higher";"18.0%+"
"15.0% - 15.9%";"15.0% - 15.9%"
"36.9% or lower";"36.9%-"
"38.0% - 38.9%";"38.0% - 38.9%"
"41.0% - 41.9%";"41.0% - 41.9%"
"40.0% - 40.9%";"40.0% - 40.9%"
"37.0% - 37.9%";"37.0% - 37.9%"
"42.0% or higher";"42.0+"
"39.0% - 39.9%";"39.0% - 39.9%"
"Will Trump's Rasmussen approval be 49% or higher on May 15?";"Trump's Rasmussen at 49+ on 5/15?"
"6.0% - 6.4%";"6.0% - 6.4%"
"5.4% or lower";"5.4%-"
"7.0% - 7.4%";"7.0% - 7.4%"
"5.5% - 5.9%";"5.5% - 5.9%"
"6.5% - 6.9%";"6.5% - 6.9%"
"7.5% - 7.9%";"7.5% - 7.9%"
"8.0% or higher";"8.0+"
"9.0% or higher";"9.0+"
"6.4% or lower";"6.4%-"
"8.0% - 8.4%";"8.0% - 8.4%"
"8.5% - 8.9%";"8.5% - 8.9%"
"Will Roy Moore file to run for Senate by Sep. 30?";"Moore to run for Senate by 9/30?"
"44.1% or lower";"44.1-"
"45.0% - 45.3%";"45.0-45.3"
"45.8% - 46.1%";"45.8-46.1"
"46.2% or higher";"46.2+"
"45.4% - 45.7%";"45.4-45.7"
"Andy Beshear";"Beshear"
"Rocky Adkins";"Adkins"
"Adam Edelen";"Edelen"
"70 - 71";"70 - 71"
"72 - 73";"72 - 73"
"74 - 75";"74 - 75"
"78 - 79";"78 - 79"
"76 - 77";"76 - 77"
"1-2 tweets";"1-2"
"17 or more";"17+"
"11-12 tweets";"11-12"
"9-10 tweets";"9-10"
"7-8 tweets";"7-8"
"5-6 tweets";"5-6"
"3-4 tweets";"3-4"
"13-14 tweets";"13-14"
"15-16 tweets";"15-16"
"Will any @joebiden tweet mention ""Obama"" noon 5/14 - noon 5/21?";"Biden ""Obama"" tweet noon 5/14-5/21?"
"Will Trump's Rasmussen approval be 48% or higher on May 22?";"Trump's Rasmussen at 48+ on 5/2?"
"Will the Senate confirm a new DHS secretary by Aug. 31?";"Senate confirm new DHS sec. by 8/31?"
"Will the Senate confirm a new UN ambassador by Aug. 31?";"Senate confirm new UN amb. by 8/31?"
"Will the Senate confirm a new SBA admin. by Aug. 31?";"Senate confirm new SBA admin. by 8/31?"
"129 or fewer";"129-"
"170 - 179";"170 - 179"
"180 or more";"180+"
"Will Obama endorse Biden by Dec. 31, according to 538?";"Obama endorse Biden by 12/31 per 538?"
"35% - 40%";"35% - 40%"
"15% - 20%";"15% - 20%"
"20% - 25%";"20% - 25%"
"25% - 30%";"25% - 30%"
"30% - 35%";"30% - 35%"
"40% or more";"40+"
"0% - 15%";"0% - 15%"
"0% - 10%";"0% - 10%"
"10% - 15%";"10% - 15%"
"35% or more";"35+"
"0% - 20%";"0% - 20%"
"40% - 45%";"40% - 45%"
"Will John Delaney participate in June 26-27 Democratic debate?";"Will Delaney participate in June debate?"
"Will Eric Swalwell participate in June 26-27 Democratic debate?";"Swalwell participate in June debate?"
"Will Steve Bullock participate in June 26-27 Democratic debate?";"Will Bullock participate in June debate?"
"Will Kirsten Gillibrand participate in June 26-27 Democratic debate?";"Gillibrand participate in June debate?"
"Will Jay Inslee participate in June 26-27 Democratic debate?";"Will Inslee participate in June debate?"
"160 or more";"160+"
"110 - 119";"110 - 119"
"Will Trump's Rasmussen approval be 46% or higher on May 29?";"Trump's Rasmussen at 46+ on 5/29?"
"Julián Castro";"Castro"
"$5.0B or more";"$5.0B+"
"$4.5-5.0B";"$4.5-5.0B"
"$3.0-3.5B";"$3.0-3.5B"
"Less than $3.0B";"$3.0B-"
"$3.5-4.0B";"$3.5-4.0B"
"$4.0-4.5B";"$4.0-4.5B"
"40.5% - 40.7%";"40.5-40.7"
"40.4% or lower";"40.4-"
"Will Trump's Rasmussen approval be 47% or higher on June 5?";"Trump's Rasmussen at 47+ on 6/5?"
"Will a federal charge against John Brennan be confirmed by Dec. 31, 2019?";"Will Brennan face charges by 12/31/19?"
"Will Biden be RCP Dem frontrunner on Aug. 1?";"Biden RCP frontrunner on Aug. 1?"
"Will Mueller publicly testify before Senate  or House Judiciary by July 31?";"Mueller public Jud. testimony by 7/31?"
"Will Don McGahn publicly testify before Senate  or House Judiciary by July 31?";"McGahn public Jud. testimony by 7/31?"
"Will William Barr publicly testify before Senate  or House Judiciary by July 31?";"Barr public Jud. testimony by 7/31?"
"Will a @realDonaldTrump tweet mention ""Boris Johnson"" by June 15?";"Trump tweet ""Boris Johnson"" by 6/15?"
"100 - 109";"100 - 109"
"150 or more";"150+"
"Will Trump's Rasmussen approval be 49% or higher on June 12?";"Trump's Rasmussen at 49+ on 6/12?"
"9.5% or higher";"9.5+"
"6.9% or lower";"6.9%-"
"9.0% - 9.4%";"9.0% - 9.4%"
"31.9% or lower";"31.9%-"
"33.0% - 33.9%";"33.0% - 33.9%"
"36.0% - 36.9%";"36.0% - 36.9%"
"35.0% - 35.9%";"35.0% - 35.9%"
"32.0% - 32.9%";"32.0% - 32.9%"
"34.0% - 34.9%";"34.0% - 34.9%"
"18.0% - 18.9%";"18.0% - 18.9%"
"13.9% or lower";"13.9%-"
"19.0% or higher";"19.0%+"
"139 or fewer";"139-"
"180 - 189";"180 - 189"
"190 or more";"190+"
"Will Warren's end-of-day RCP average support pass Sanders' by Aug. 31?";"Warren pass Sanders on RCP by 8/31?"
"Will Census Bureau print citizenship question by July 31?";"Citizenship question printed by 7/31?"
"Will Trump sign executive action on Mexico tariff today?";"Executive action on Mexico tariff today?"
"42.3% - 42.5%";"42.3% - 42.5%"
"Will Trump's Rasmussen approval be 51% or higher on June 19?";"Trump's Rasmussen at 51+ on 6/19?"
"Will Trump commute Manafort's sentence (without pardon) by Sept. 1?";"Manafort commutation by 9/1?"
"Will James Comey publicly testify before Congress by Sept. 30?";"Will Comey publicly testify by 9/30?"
"5 candidates";"5"
"6 candidates";"6"
"3 candidates";"3"
"4 candidates";"4"
"2 candidates";"2"
"1 candidate";"1"
"Will Trump's Rasmussen approval be 47% or higher on June 26?";"Trump's Rasmussen at 47+ on 6/26?"
"Will Biden's polling support increase after 1st debate?";"Biden polling higher after 1st debate?"
"Will Sanders' polling support increase after 1st debate?";"Sanders polling higher after 1st debate?"
"Will any lower tier Democratic candidate poll at 5%+ after debate?";"Any lower tier Dem at 5%+ after debate?"
"Will Warren's RCP polling increase after 1st debate?";"Warren RCP polling higher after debate?"
"Will Kamala Harris' RCP polling increase after 1st debate?";"Harris RCP polling higher after debate?"
"Will Buttigieg's RCP polling increase after 1st debate?";"Buttigieg RCP higher after debate?"
"43.3% or lower";"43.3-"
"45.4% or higher";"45.4+"
"Will Andrew Yang's RCP polling increase after 1st debate?";"Yang RCP higher after debate?"
"Will Amy Klobuchar's RCP polling increase after 1st debate?";"Klobuchar RCP higher after debate?"
"Will Beto O'Rourke's RCP polling increase after 1st debate?";"O'Rourke RCP higher after debate?"
"Will Cory Booker's RCP polling increase after 1st debate?";"Booker RCP higher after debate?"
"Will Trump's Rasmussen approval be 48% or higher on July 3?";"Trump's Rasmussen at 48+ on 7/3?"
"Will a @realDonaldTrump tweet mention socialism 9-11 pm tonight?";"Trump tweet socialism 9-11 pm tonight?"
"Will Biden lead RCP polling by 15%+ on July 5?";"Biden lead RCP by 15+ July 5?"
"32.0% - 32.9%";"32.0-32.9"
"33.0% - 33.9%";"33.0-33.9"
"29.0% - 29.9%";"29.0-29.9"
"30.0% - 30.9%";"30.0-30.9"
"31.0% - 31.9%";"31.0-31.9"
"14.0% - 14.9%";"14.0-14.9"
"13.0% - 13.9%";"13.0-13.9"
"9.9% or lower";"9.9%-"
"12.0% - 12.9%";"12.0-12.9"
"11.0% - 11.9%";"11.0-11.9"
"10.0% - 10.9%";"10.0-10.9"
"2.0% - 2.9%";"2.0-2.9"
"1.0% - 1.9%";"1.0-1.9"
"0.9% or lower";"0.9%-"
"6.0% or higher";"6.0+"
"8.0% - 8.9%";"8.0-8.9"
"8% - 10%";"8% - 10%"
"12% or more";"12%+"
"10% - 12%";"10% - 12%"
"Less than 6%";"6%-"
"6% - 8%";"6% - 8%"
"Will Netanyahu be indicted by year-end?";"Netanyahu indicted by 12/31?"
"Will Benjamin Netanyahu be prime minister of Israel at year-end?";"Will Netanyahu be Israeli PM on 12/31?"
"Will Trump's Rasmussen approval be 49% or higher on July 10?";"Trump's Rasmussen at 49+ on 7/10?"
"140 or more";"140+"
"90 - 99";"90 - 99"
"Will Alexander Acosta be impeached by the end of 2019?";"Acosta impeached by end of 2019?"
"Will Trump sign executive action on census by July 16?";"Executive action on census by 7/16?"
"41.9% or lower";"41.9-"
"Will Justin Amash file to run for president by Sept. 30?";"Will Amash run by 9/30/19?"
"Gregory Murphy";"Murphy"
"Joan Perry";"Perry"
"Will Trump's Rasmussen approval be 49% or higher on July 17?";"Trump's Rasmussen at 49+ on 7/17?"
"Will Mueller mention ""impeach"" in open House hearing Wednesday?";"Mueller mention ""impeach"" in hearing?"
"Will Mueller mention ""impeach"" in open House hearing on July 24?";"Mueller mention ""impeach"" on 7/24?"
"Will Servant of the People win a majority in Ukrainian parliamentary election?";"Servant of the People maj. in Ukraine?"
"Will the House censure Trump by July 31?";"House censure Trump by 7/31?"
"Will Trump's Rasmussen approval be 50% or higher on July 24?";"Trump's Rasmussen at 50+ on 7/24?"
"13-14";"13-14"
"15-16";"15-16"
"19 or more";"19+"
"17-18";"17-18"
"Steve Bullock";"Bullock"
"Will Kamala Harris' RCP polling increase after 2nd debate?";"Harris RCP polling higher after debate?"
"Will Warren's RCP polling increase after 2nd debate?";"Warren RCP polling higher after debate?"
"Will Buttigieg's RCP polling increase after 2nd debate?";"Buttigieg RCP higher after debate?"
"Will Andrew Yang's RCP polling increase after 2nd debate?";"Yang RCP higher after debate?"
"Will Joe Biden's RCP polling increase after 2nd debate?";"Biden RCP higher after debate?"
"Will Mueller mention ""Clinton"" in open House hearing on July 24?";"Mueller mention ""Clinton"" on 7/24?"
"Will Mueller mention ""Deutsche"" in open House hearing on July 24?";"Mueller mention ""Deutsche"" on 7/24?"
"Will Mueller mention ""Kushner"" in open House hearing on July 24?";"Mueller mention ""Kushner"" on 7/24?"
"Will Mueller mention ""Ivanka"" in open House hearing on July 24?";"Mueller mention ""Ivanka"" on 7/24?"
"Raghuram Rajan";"Rajan"
"Jeroen Dijsselbloem";"Dijsselbloem"
"Nadia Calviño";"Calviño"
"Mark Carney";"Carney"
"Mário Centeno";"Centeno"
"Will Trump's Rasmussen approval be 48% or higher on July 31?";"Trump's Rasmussen at 48+ on 7/31?"
"Will Spain's Sánchez win 2nd round investiture vote?";"Spain's Sánchez win investiture vote?"
"159 or fewer";"159-"
"190 - 199";"190 - 199"
"210 or more";"210+"
"Will the Senate confirm Christopher Waller to Fed board in 2019?";"Senate confirm Waller to Fed in 2019?"
"Will the Senate confirm Judy Shelton to Fed board in 2019?";"Senate confirm Shelton to Fed in 2019?"
"6.1% - 6.4%";"6.1% - 6.4%"
"6.9% - 7.2%";"6.9% - 7.2%"
"At least 7.3%";"7.3%+"
"5.7% - 6.0%";"5.7% - 6.0%"
"5.2% or less";"5.2-"
"6.5% - 6.8%";"6.5% - 6.8%"
"5.3% - 5.6%";"5.3% - 5.6%"
"D. Bernhardt (DOI)";"Bernhardt"
"Mark Esper (Defense)";"Esper"
"Robert Sawyers";"Sawyers"
"Jim Shulman";"Shulman"
"Will the Senate confirm John Ratcliffe as DNI in 2019?";"Senate confirm Ratcliffe as DNI in 2019?"
"John Cooper";"Cooper"
"Carol Swain";"Swain"
"David Briley";"Briley"
"John Clemmons";"Clemmons"
"Wanda Vázquez";"Vázquez"
"Ramón Luis Rivera";"Rivera"
"Kenneth McClintock";"McClintock"
"Thomas Rivera Schatz";"Rivera Schatz"
"L.S. Rodríguez";"L.S. Rodríguez"
"Pedro Pierluisi";"Pierluisi"
"Will early elections in the U.K. be called by Oct. 31?";"UK early elections called by 10/31?"
"Will Trump's Rasmussen approval be 47% or higher on August 7?";"Trump's Rasmussen at 47+ on 8/7?"
"Will the Senate confirm a Labor Secretary by Oct. 31?";"Senate confirm Labor Secretary by 10/31?"
"Will the Senate confirm a DHS Secretary by Oct. 31?";"Senate confirm DHS Secretary by 10/31?"
"2.9% or lower";"2.9-"
"7.9% or lower";"7.9%-"
"9.0% - 9.9%";"9.0-9.9"
"16.0% - 16.9%";"16.0-16.9"
"11.9% or lower";"11.9%-"
"15.0% - 15.9%";"15.0-15.9"
"17.0% or higher";"17.0+"
"169 or fewer";"169-"
"220 or more";"220+"
"Will the U.S. label China a currency manipulator in 2019?";"China labeled currency manipulator 2019?"
"Will Trump meet with A$AP Rocky at the White House by Sept. 15?";"Trump-Rocky WH meeting by 9/15?"
"Will Jay Inslee participate in Sept. 12-13 Democratic debate?";"Will Inslee participate in Sept. debate?"
"Will Tulsi Gabbard participate in Sept. 12-13 Democratic debate?";"Gabbard participate in Sept. debate?"
"Will Andrew Yang participate in Sept. 12-13 Democratic debate?";"Will Yang participate in Sept. debate?"
"Will Julián Castro participate in Sept. 12-13 Democratic debate?";"Will Castro participate in Sept. debate?"
"Will Tom Steyer participate in Sept. 12-13 Democratic debate?";"Will Steyer participate in Sept. debate?"
"Will John Hickenlooper participate in Sept. 12-13 Democratic debate?";"Hickenlooper participate Sept. debate?"
"Will Marianne Williamson participate in Sept. 12-13 Democratic debate?";"Williamson participate in Sept. debate?"
"Will Trump's Rasmussen approval be 47% or higher on August 14?";"Trump's Rasmussen at 47+ on 8/14?"
"Will a candidate win the Argentine presidential election in the 1st round?";"Argentine president elected in 1 round?"
"Alberto Fernández";"Fernández"
"José Espert";"Espert"
"Mauricio Macri";"Macri"
"Nicolás Del Caño";"Del Caño"
"Roberto Lavagna";"Lavagna"
"Tate Reeves";"Reeves"
"William Waller";"Waller"
"15 or more";"15+"
"8 or fewer";"8-"
"9";"9"
"Will Trump meet with Kim Jong Un again in 2019?";"Another Trump-Kim meeting in 2019?"
"Will Trump pardon Rod Blagojevich or commute his sentence by year-end 2019?";"Blago clemency in 2019?"
"Will Beto O'Rourke file to run for Senate by Dec. 9?";"Beto to run for Senate by 12/9?"
"Will John Hickenlooper file to run for Senate by Mar. 17?";"Hickenlooper to run for Senate by 3/17?"
"Will Trump's Rasmussen approval be 45% or higher on August 21?";"Trump's Rasmussen at 45+ on 8/21?"
"Will Don McGahn publicly testify before Congress in 2019?";"Will McGahn publicly testify in 2019??"
"Will a @realDonaldTrump tweet mention ""Barstool"" by Aug. 31?";"Trump tweet ""Barstool"" by 8/31?"
"Will the Senate confirm a DNI by Dec. 31?";"Senate confirm DNI by 12/31?"
"Will Steve King be in Congress at year-end?";"Will King be in Congress at year-end?"
"Will Trump have another primary challenger on 12/31?";"Another GOP pres. candidate on 12/31?"
"Will Trump meet with Xi Jinping by Oct. 31?";"Trump-Xi meeting by 10/31?"
"Will Italian parliament pass vote of confidence for Conte government by Aug. 20?";"Italy confidence vote for Conte by 8/20?"
"5% - 10%";"5% - 10%"
"0% - 5%";"0% - 5%"
"Will Trump's Rasmussen approval be 46% or higher on August 28?";"Trump's Rasmussen at 46+ on 8/28?"
"Roberto Fico";"Fico"
"Nicola Zingaretti";"Zingaretti"
"Elisabetta Belloni";"Belloni"
"Marta Cartabia";"Cartabia"
"Enrico Giovannini";"Giovannini"
"Paola Severino";"Severino"
"Will Kirsten Gillibrand participate in Sept. 12-13 Democratic debate?";"Gillibrand participate in Sept. debate?"
"Will Trump's Rasmussen approval be 47% or higher on Sept. 4?";"Trump's Rasmussen at 47+ on 9/4?"
"Will Michael Bennet participate in October Democratic debate?";"Will Bennet participate in Oct. debate?"
"Will Bill de Blasio participate in October Democratic debate?";"De Blasio participate in Oct. debate?"
"Will John Delaney participate in October Democratic debate?";"Will Delaney participate in Oct. debate?"
"Will Marianne Williamson participate in October Democratic debate?";"Williamson participate in Oct. debate?"
"Will Tom Steyer participate in October Democratic debate?";"Will Steyer participate in Oct. debate?"
"Will Steve Bullock participate in October Democratic debate?";"Will Bullock participate in Oct. debate?"
"Will Tulsi Gabbard participate in October Democratic debate?";"Will Gabbard participate in Oct. debate?"
"Will Tim Ryan participate in October Democratic debate?";"Will Ryan participate in Oct. debate?"
"7.3% - 7.6%";"7.3% - 7.6%"
"5.6% or less";"5.6-"
"At least 7.7%";"7.7%+"
"40.5% - 40.7%";"40.5% - 40.7%"
"Will Trump's Rasmussen approval be 46% or higher on Sept. 11?";"Trump's Rasmussen at 46+ on 9/11?"
"210  or more";"210+"
"Will the UK leave the EU with a no-deal Brexit in 2019?";"No-deal Brexit in 2019?"
"Will Carrie Lam be Hong Kong CEO on Sept. 30?";"Will Lam be Hong Kong CEO on 9/30?"
"270 - 279";"270 - 279"
"229 or fewer";"229-"
"240 - 249";"240 - 249"
"230 - 239";"230 - 239"
"250 - 259";"250 - 259"
"260 - 269";"260 - 269"
"280 or more";"280+"
"28.0% - 28.9%";"28.0-28.9"
"14.9% or lower";"14.9%-"
"19.0% - 19.9%";"19.0% - 19.9%"
"6 or fewer";"6-"
"14 or more";"14+"
"1% - 2%";"1% - 2%"
"5% - 6%";"5% - 6%"
"2% - 3%";"2% - 3%"
"3% - 4%";"3% - 4%"
"4% - 5%";"4% - 5%"
"0% - 1%";"0% - 1%"
"6% - 7%";"6% - 7%"
"41.7% or higher";"41.7+"
"40.1% or lower";"40.1-"
"40.2% - 40.4%";"40.2-40.4"
"Will CA governor sign Fair Pay to Play Act by Oct. 31?";"CA gov sign Fair Pay to Play by 10/31?"
"Ricky Waddell";"Waddell"
"Steve Biegun";"Biegun"
"Douglas MacGregor";"MacGregor"
"Brian Hook";"Hook"
"Tom Bossert";"Bossert"
"Robert O'Brien";"O'Brien"
"Fred Fleitz";"Fleitz"
"Lisa Gordon-Hagerty";"Gordon-Hagerty"
"Will Trump's Rasmussen approval be 47% or higher on Sept. 18?";"Trump's Rasmussen at 47+ on 9/18?"
"Will a Houston debate candidate mention ""Sharpie""?";"""Sharpie"" mentioned at Houston debate?"
"Will a Houston debate candidate mention ""mandatory buyback""?";"""Mandatory buyback"" mentioned at debate?"
"209 or fewer";"209-"
"260 or more";"260+"
"Benjamin Netanyahu";"Netanyahu"
"Avigdor Lieberman";"Lieberman"
"Ehud Barak";"Barak"
"Ayelet Shaked";"Shaked"
"Yair Lapid";"Lapid"
"Benny Gantz";"Gantz"
"32";"32"
"31";"31"
"30";"30"
"34";"34"
"33";"33"
"6.0% or less";"6.0-"
"At least 8.1%";"8.1%+"
"7.7% - 8.0%";"7.7% - 8.0%"
"42.7% or higher";"42.7+"
"41.5% - 41.7%";"41.5-41.7"
"41.8% - 42.0%";"41.8-42.0"
"41.1% or lower";"41.1-"
"Will Trump's Rasmussen approval be 51% or higher on Sept. 25?";"Trump's Rasmussen at 51+ on 9/25?"
"Marianne Williamson";"Williamson"
"Michael Bennet";"Bennet"
"Tom Steyer";"Steyer"
"Will CA governor sign Uber/Lyft regulation bill AB 5 by Sept. 30?";"CA gov sign Uber reg bill AB 5 by 9/30?"
"Will there be a two-night Democratic debate in Ohio in October?";"2-night Dem debate in OH in October?"
"179 or fewer";"179-"
"250 or more";"250+"
"Joe Sestak";"Sestak"
"Wayne Messam";"Messam"
"43.7% or lower";"43.7-"
"45.8% or higher";"45.8+"
"Will Trump mention Rouhani in 9/24 U.N. address?";"Trump mention Rouhani  in U.N. address?"
"Sebastian Kurz";"Kurz"
"Pamela Rendi-Wagner";"Rendi-Wagner"
"B. Meinl-Reisinger";"Meinl-Reisinger"
"Maria Stern";"Stern"
"Werner Kogler";"Kogler"
"16 or more";"16+"
"7 or fewer";"7-"
"Will Trump's Rasmussen approval be 51% or higher on Oct. 2?";"Trump's Rasmussen at 51+ on 10/2?"
"200 or more";"200+"
"149 or fewer";"149-"
"Will DNI Maguire mention ""quid pro quo"" in open House hearing on Sep. 26?";"DNI mention ""quid pro quo"" on 9/26"
"Will DNI Maguire mention impeachment in open House hearing on Sep. 26?";"DNI mention impeachment on 9/26"
"80  or more";"80+"
"Will Trump's Rasmussen approval be 48% or higher on Oct. 9?";"Trump's Rasmussen at 48+ on 10/9?"
"Will Louisiana gubernatorial election go to a runoff?";"LA gubernatorial runoff?"
"Will Corey Lewandowski file to run for Senate by year-end?";"Lewandowski to run for Senate by 12/31?"
"Will Trump's Rasmussen approval be 46% or higher on Oct. 16?";"Trump's Rasmussen at 46+ on 10/16?"
"1.5% - 1.9%";"1.5-1.9"
"1.0% - 1.4%";"1.0-1.4"
"2.5% - 2.9%";"2.5-2.9"
"0.5% - 0.9%";"0.5-0.9"
"3.0% or higher";"3.0+"
"2.0% - 2.4%";"2.0-2.4"
"0.4% or lower";"0.4%-"
"5.5% or higher";"5.5+"
"3.0% - 3.4%";"3.0-3.4"
"3.5% - 3.9%";"3.5-3.9"
"4.0% - 4.4%";"4.0-4.4"
"6.5% or higher";"6.5+"
"23.9% or lower";"23.9-"
"26.0% - 26.9%";"26.0-26.9"
"25.0% - 25.9%";"25.0-25.9"
"24.0% - 24.9%";"24.0-24.9"
"27.0% - 27.9%";"27.0-27.9"
"12.0% - 12.9%";"12.0% - 12.9%"
"17.0% or higher";"17.0%+"
"1.4% or lower";"1.4-"
"4.0% or higher";"4.0+"
"0.4% or lower";"0.4-"
"2.5% - 2.9%";"2.5% - 2.9%"
"15% - 17%";"15% - 17%"
"21% - 23%";"21% - 23%"
"23% - 25%";"23% - 25%"
"Less than 15%";"15%-"
"17% - 19%";"17% - 19%"
"19% - 21%";"19% - 21%"
"25% or more";"25%+"
"270 or more";"270+"
"9 or fewer";"9-"
"16 - 17";"16 - 17"
"22 - 23";"22 - 23"
"10 - 11";"10 - 11"
"14 - 15";"14 - 15"
"12 - 13";"12 - 13"
"24 or more";"24+"
"20 - 21";"20 - 21"
"18 - 19";"18 - 19"
"120 or more";"120+"
"Will Tulsi Gabbard participate in November Democratic debate?";"Will Gabbard participate in Nov. debate?"
"Will Beto O'Rourke participate in November Democratic debate?";"O'Rourke participate in Nov. debate?"
"Will Amy Klobuchar participate in November Democratic debate?";"Klobuchar participate in Nov. debate?"
"Will Julián Castro participate in November Democratic debate?";"Will Castro participate in Nov. debate?"
"Will Biden see an RCP polling bump from the Ohio debate?";"Biden RCP bump from OH debate?"
"Will Sanders see an RCP polling bump from the Ohio debate?";"Sanders RCP bump from OH debate?"
"Will Warren see an RCP polling bump from the Ohio debate?";"Warren RCP bump from OH debate?"
"Will Harris see an RCP polling bump from the Ohio debate?";"Harris RCP bump from OH debate?"
"Will Yang see an RCP polling bump from the Ohio debate?";"Yang RCP bump from OH debate?"
"Will an Ohio debate candidate, other than Biden, mention ""Hunter""?";"""Hunter"" spoken by others at debate?"
"Will an Ohio debate candidate mention ""mandatory buyback""?";"""Mandatory buyback"" mentioned at debate?"
"Will an Ohio debate candidate mention ""Giuliani""?";"""Giuliani"" mentioned at debate?"
"Will an Ohio debate candidate mention ""Fox News""?";"""Fox News"" mentioned at debate?"
"Will Trump's Rasmussen approval be 50% or higher on Oct. 23?";"Trump's Rasmussen at 50+ on 10/23?"
"308 or fewer MPs";"308-"
"309 - 313 MPs";"309 - 313"
"324 - 328 MPs";"324 - 328"
"314 - 318 MPs";"314 - 318"
"334 or more MPs";"334+"
"319 - 323 MPs";"319 - 323"
"329 - 333 MPs";"329 - 333"
"60  or more";"60+"
"Will any party win a majority in the Canadian parliamentary election?";"Majority winner in Canada?"
"Will Carrie Lam be Hong Kong CEO on December 31?";"Will Lam be Hong Kong CEO on 12/31?"
"Will the House pass a resolution with ""impeach"" in the title by Thanksgiving?";"House Res. says ""impeach"" by 11/28?"
"Will Rudy Giuliani publicly testify before the House in 2019?";"Rudy House testimony in 2019?"
"Will Trump's Rasmussen approval be 45% or higher on Oct. 30?";"Trump's Rasmussen at 45+ on 10/30?"
"149 or fewer";"149 -"
"48.3% or lower";"48.3-"
"49.3% - 49.5%";"49.3-49.5"
"49.0% - 49.2%";"49.0-49.2"
"49.9% or higher";"49.9+"
"48.7% - 48.9%";"48.7-48.9"
"48.4% - 48.6%";"48.4-48.6"
"49.6% - 49.8%";"49.6-49.8"
"250 - 259";"250 -259"
"230 - 233";"230 - 233"
"218 - 221";"218 - 221"
"222 - 225";"222 - 225"
"226 - 229";"226 - 229"
"234 - 237";"234 - 237"
"246 or more";"246+"
"238 - 241";"238 - 241"
"242 - 245";"242 - 245"
